Code,Cost,Full Name,Contents,Type
IQHS2,$61.00,HEALTH SCREENING 2,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
Glucose (Fasting)
Urea
Creatinine
eGFR
Sodium
Potassium
Chloride
Bicarbonate
Urine Microalbumin/Creatinine Ratio
Calcium
Uric Acid
Phosphate
Total Protein
Total Bilirubin
Albumin
Globulin
A/G Ratio
AST/SGOT
ALT/SGPT
GGT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides",Profile
IQHS4,$66.00,HEALTH SCREENING 4,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
Glucose (Fasting)
Urea
Creatinine
eGFR
Uric Acid
Urine Microalbumin/Creatinine Ratio
Total Protein
Total Bilirubin
Albumin
Globulin
A/G Ratio
AST/SGOT
ALT/SGPT
Alkaline Phosphatase
GGT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Urine FEME",Profile
IQHS8,$103.00,HEALTH SCREENING 8,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
Glucose (Fasting)
Urea
Creatinine
eGFR
Sodium
Potassium
Chloride
Uric Acid
Urine Microalbumin/Creatinine Ratio
Total Protein
Total Bilirubin
Albumin
Globulin
A/G Ratio
AST/SGOT
ALT/SGPT
Alkaline Phosphatase
GGT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Free T4
Thyroid Stimulating Hormone (TSH)
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Urine FEME",Profile
IQHS12,$132.00,HEALTH SCREENING 12,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
ABO Blood Group
Glucose (Fasting)
Urea
Creatinine
eGFR
Sodium
Potassium
Chloride
Urine Microalbumin/Creatinine Ratio
Calcium
Phosphate
Uric Acid
Total Protein
Total Bilirubin
Albumin
Globulin
A/G Ratio
AST/SGOT
ALT/SGPT
Alkaline Phosphatase
GGT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Free T4
Thyroid Stimulating Hormone (TSH)
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Urine FEME",Profile
IQHS18,$197.00,HEALTH SCREENING 18,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
ABO Blood Group
Glucose (Fasting)
Urea
Creatinine
eGFR
Sodium
Potassium
Chloride
Bicarbonate
Urine Microalbumin/Creatinine Ratio
Calcium
Phosphate
Uric Acid
Total Protein
Total Bilirubin
Albumin
Globulin
A/G Ratio
AST/SGOT
ALT/SGPT
Alkaline Phosphatase
GGT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Free T4
Thyroid Stimulating Hormone (TSH)
High Sensitive C Reactive Protein (hs-CRP)
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Alpha Fetoprotein (AFP)
Carcinoembryonic Antigen (CEA)
EBV EA-IgA
Urine FEME
Stool Occult Blood (Immunological)",Profile
IQHS22,$244.00,HEALTH SCREENING 22,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
ABO Blood Group
Glucose (Fasting)
Urea
Creatinine
eGFR
Sodium
Potassium
Chloride
Urine Microalbumin/Creatinine Ratio
Calcium
Phosphate
Uric Acid
Vitamin D, Total
Total Protein
Total Bilirubin
Albumin
Globulin
A/G Ratio
AST/SGOT
ALT/SGPT
Alkaline Phosphatase
GGT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Free T4
Thyroid Stimulating Hormone (TSH)
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Hepatitis A Total Antibody
Alpha Fetoprotein (AFP)
Carcinoembryonic Antigen (CEA)
EBV EA-IgA
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Urine FEME
Stool Occult Blood (Immunological)",Profile
IQHS24,$259.00,HEALTH SCREENING 24,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
ABO Blood Group
Glucose (Fasting)
Urea
Creatinine
eGFR
Sodium
Potassium
Chloride
Urine Microalbumin/Creatinine Ratio
Calcium
Phosphate
Uric Acid
Rheumatoid Factor
Vitamin D, Total
Total Protein
Total Bilirubin
Albumin
Globulin
A/G Ratio
AST/SGOT
ALT/SGPT
Alkaline Phosphatase
GGT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Free T4
Thyroid Stimulating Hormone (TSH)
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Hepatitis A Total Antibody
Alpha Fetoprotein (AFP)
Carcinoembryonic Antigen (CEA)
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Urine FEME
Stool Occult Blood (Immunological)
Select ONE Additional Test (CA125, PSA, CA19.9, CA15.3, Beta HCG, or Glycated Haemoglobin)",Profile
IQHS25,$273.00,HEALTH SCREENING 25,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
ABO Blood Group
Glucose (Fasting)
Urea
Creatinine
eGFR
Sodium
Potassium
Chloride
Urine Microalbumin/Creatinine Ratio
Calcium
Phosphate
Uric Acid
Rheumatoid Factor
Vitamin D, Total
Total Protein
Total Bilirubin
Albumin
Globulin
A/G Ratio
AST/SGOT
ALT/SGPT
Alkaline Phosphatase
GGT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Free T4
Thyroid Stimulating Hormone (TSH)
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Hepatitis A Total Antibody
Alpha Fetoprotein (AFP)
Carcinoembryonic Antigen (CEA)
CA19.9
CA 125 (female)
PSA (male)
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Urine FEME",Profile
IQHS27,$303.00,HEALTH SCREENING 27,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
ABO Blood Group
Glucose (Fasting)
Urea
Creatinine
eGFR
Sodium
Potassium
Chloride
Bicarbonate
Urine Microalbumin/Creatinine Ratio
Glycated Haemoglobin (HbA1c)
Calcium
Phosphate
Uric Acid
Rheumatoid Factor
Anti-CCP
Vitamin D, Total
Total Protein
Total Bilirubin
Albumin
Globulin
A/G Ratio
AST/SGOT
ALT/SGPT
Alkaline Phosphatase
GGT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Free T4
Thyroid Stimulating Hormone (TSH)
High Sensitive C Reactive Protein (hs-CRP)
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Hepatitis A Total Antibody
Alpha Fetoprotein (AFP)
Carcinoembryonic Antigen (CEA)
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Urine FEME
Stool Occult Blood (Immunological)
Select ONE Additional Test",Profile
IQHS29,$466.00,HEALTH SCREENING 29,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
Glucose (Fasting)
Urea
Creatinine
eGFR
Sodium
Potassium
Chloride
Urine Microalbumin/Creatinine Ratio
Glycated Haemoglobin (HbA1c)
Calcium
Phosphate
Uric Acid
Rheumatoid Factor
Vitamin D, Total
Total Protein
Total Bilirubin
Albumin
Globulin
A/G Ratio
AST/SGOT
ALT/SGPT
Alkaline Phosphatase
GGT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Free T4
Thyroid Stimulating Hormone (TSH)
High Sensitive C Reactive Protein (hs-CRP)
Apolipoprotein A1
Apolipoprotein B
Apolipoprotein B/A1 Ratio
Lipoprotein (a)
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Hepatitis A Total Antibody
Hepatitis C Antibody (HCV)
Alpha Fetoprotein (AFP)
Carcinoembryonic Antigen (CEA)
CA 125 (female)
PSA (male)
CA19.9
Beta HCG
EBV EA-IgA
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Urine FEME
Stool Occult Blood (Immunological)",Profile
IQHS30,$577.00,HEALTH SCREENING 30,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ESR
ABO Blood Group
Glucose (Fasting)
Urea
Creatinine
eGFR
Sodium
Potassium
Chloride
Bicarbonate
Urine Microalbumin/Creatinine Ratio
Glycated Haemoglobin (HbA1c)
Calcium
Phosphate
Uric Acid
Rheumatoid Factor
Anti-CCP
Vitamin D, Total
Total Protein
Total Bilirubin
Albumin
Globulin
A/G Ratio
AST/SGOT
ALT/SGPT
Alkaline Phosphatase
GGT
Cholesterol, Total
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Free T4
Thyroid Stimulating Hormone (TSH)
High Sensitive C Reactive Protein (hs-CRP)
Apolipoprotein A1
Apolipoprotein B
Apolipoprotein B/A1 Ratio
Lipoprotein (a)
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Hepatitis A Total Antibody
Hepatitis C Antibody (HCV)
Alpha Fetoprotein (AFP)
Carcinoembryonic Antigen (CEA)
EBV EA-IgA
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Urine FEME
Stool Occult Blood (Immunological)
Select ONE Additional Test (CA125, PSA, CA19.9, CA15.3, Beta HCG, Testosterone Total, or Ferritin)",Profile
HP04,$70.00,"Hepatitis B, C & HIV Profile 04","Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Anti-HCV Antibody
HIV Ag/Ab Screen",Profile
HP05,$84.00,"Hepatitis A, B & C Profile 05","Hepatitis A Total Antibody
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Anti-HCV Antibody",Profile
HP06,$86.00,Hepatitis B Profile 06,"Alpha Fetoprotein (AFP)
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Hepatitis Be Antigen (HBeAg)
Hepatitis Be Antibody (HBeAb)
ALT/SGPT
AST/SGOT",Profile
HP07,$91.00,Hepatitis B Profile 07,"Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Hepatitis Be Antigen (HBeAg)
Hepatitis Be Antibody (HBeAb)
Hepatitis Bc Antibody",Profile
HP08,$62.00,Hepatitis B Profile 08,"Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Total Protein
Albumin
Total Bilirubin
Bilirubin, Direct
Bilirubin, Indirect
Globulin
A/G Ratio
ALT/SGPT
AST/SGOT
Alkaline Phosphatase
GGT",Profile
CHBP,$331.00,Chronic Hepatitis B Profile,"Hepatitis Be Antigen (HBeAg)
Hepatitis Be Antibody (HBeAb)
Hepatitis Bs Antigen (Quantitative)
HBV DNA (Quantitative)
ALT/SGPT",Profile
LVA,$40.00,Liver Profile,"Total Protein
Total Bilirubin
Bilirubin, Direct (if Total Bilirubin is elevated)
Bilirubin, Indirect (if Total Bilirubin is elevated)
Albumin
Globulin
A/G Ratio
ALT/SGPT
AST/SGOT
Alkaline Phosphatase
GGT",Profile
IQLV01,$38.00,Liver Profile 01,"Total Bilirubin
Bilirubin, Direct (if Total Bilirubin is elevated)
Bilirubin, Indirect (if Total Bilirubin is elevated)
Albumin
Globulin
A/G Ratio
ALT/SGPT
AST/SGOT
Alkaline Phosphatase
GGT
LDH",Profile
IQLV02,$41.00,Liver Profile 02,"Total Protein
Total Bilirubin
Bilirubin, Direct (if Total Bilirubin is elevated)
Bilirubin, Indirect (if Total Bilirubin is elevated)
Albumin
Globulin
A/G Ratio
ALT/SGPT
AST/SGOT
Alkaline Phosphatase
GGT
LDH",Profile
IQLV04,$96.00,Liver Profile 04,"Total Protein
Total Bilirubin
Bilirubin, Direct (if Total Bilirubin is elevated)
Bilirubin, Indirect (if Total Bilirubin is elevated)
Albumin
Globulin
A/G Ratio
ALT/SGPT
AST/SGOT
Alkaline Phosphatase
GGT
LDH
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Hepatitis A Total Antibody
Alpha Fetoprotein (AFP)",Profile
IQLV05,$53.00,Liver Profile 05,"Total Protein
Total Bilirubin
Bilirubin, Direct (if Total Bilirubin is elevated)
Bilirubin, Indirect (if Total Bilirubin is elevated)
Albumin
Globulin
A/G Ratio
ALT/SGPT
AST/SGOT
Alkaline Phosphatase
GGT
Alpha Fetoprotein (AFP)",Profile
IQAM03,$66.00,AMENORRHOEA PROFILE 03,"Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin",Profile
IQAM01,$105.00,AMENORRHOEA PROFILE 01,"Testosterone
Estradiol (E2)
Free T4
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin",Profile
IQAM09,$88.00,HORMONAL STUDY 09,"Testosterone
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin",Profile
IQAM07,$98.00,HORMONAL STUDY 07,"Estradiol (E2)
Progesterone
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)",Profile
IQAM06,$117.00,HORMONAL STUDY 06,"Estradiol (E2)
Free T4
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin",Profile
IQAM08,$110.00,HORMONAL STUDY 08,"Estradiol (E2)
Progesterone
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin",Profile
IQAM04,$132.00,AMENORRHOEA PROFILE 04,"Testosterone
Estradiol (E2)
Free T4
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin
Thyroid Stimulating Hormone (TSH)",Profile
IQAM10,$132.00,HORMONAL STUDY 10,"Estradiol (E2)
Free T4
Thyroid Stimulating Hormone (TSH)
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin",Profile
IQAM02,$165.00,AMENORRHOEA PROFILE 02,"Testosterone
Estradiol (E2)
Progesterone
Free T4
Free T3
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin
Thyroid Stimulating Hormone (TSH)",Profile
IQAM05,$196.00,AMENORRHOEA PROFILE 05,"Testosterone
Estradiol (E2)
Progesterone
Free T4
Cortisol
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin
Dehydroepiandrosterone Sulfate (DHEAS)",Profile
IQFS06,$88.00,FERTILITY SCREEN 06 (MALE),"Testosterone
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin",Profile
IQFS07,$111.00,FERTILITY SCREEN 07 (MALE),"Testosterone
Free T4
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin",Profile
IQFS04,$128.00,FERTILITY SCREEN 04 (FEMALE),"Estradiol (E2)
Progesterone
Free T4
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin",Profile
IQFS01,$99.00,FERTILITY SCREEN 01 (FEMALE),"Estradiol (E2)
Progesterone
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin
Beta HCG",Profile
IQFS01A,$216.00,FERTILITY SCREEN 01A (FEMALE),"Estradiol (E2)
Progesterone
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin
Beta HCG
Anti-Mullerian Hormone",Profile
IQFS05,$191.00,FERTILITY SCREEN 05 (FEMALE),"Testosterone
Estradiol (E2)
Free T4
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin
Thyroid Stimulating Hormone (TSH)
Dehydroepiandrosterone Sulfate (DHEAS)",Profile
IQFS03,$276.00,FERTILITY SCREEN 03,"Testosterone
Estradiol (E2)
Progesterone
Free T4
Free T3
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin
Thyroid Stimulating Hormone (TSH)
Anti-Mullerian Hormone",Profile
ME01,$65.00,MENOPAUSAL PROFILE 01,"Estradiol (E2)
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)",Profile
MCP1,$82.00,MENSTRUAL CYCLE PROFILE 1,"Estradiol (E2)
Progesterone
Follicle Stimulating Hormone (FSH)
Prolactin",Profile
MCP2,$88.00,MENSTRUAL CYCLE PROFILE 2,"Estradiol (E2)
Follicle Stimulating Hormone (FSH)
Luteinising Hormone (LH)
Prolactin",Profile
ASS01,$128.00,ANTI-AGEING SCREENING 01 (FEMALE),"Estradiol (E2)
Dehydroepiandrosterone Sulfate (DHEAS)
Insulin like Growth Factor (IGF1)",Profile
ASS02,$177.00,ANTI-AGEING SCREENING 02 (MALE),"Dehydroepiandrosterone Sulfate (DHEAS)
Insulin like Growth Factor (IGF1)
Sex Hormone Binding Globulin (SHBG)
Free Androgen Index (FAI)",Profile
PM01,$99.00,PREMARITAL PROFILE 01,"Haemoglobin
Total White Cell Count
Differential Count
Packed Cell Volume
Platelet Count
Total Red Cell Count
MCV, MCHC, MCH
Peripheral Blood Film
ABO Blood Group
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (HBsAb)
Rubella IgG Antibody
Hb Electrophoresis",Profile
EL01,$22.00,Electrolytes Profile 01,"Sodium
Potassium
Chloride
Bicarbonate",Profile
U/E,$26.00,Urea & Electrolytes,"Sodium
Potassium
Chloride
Urea
Bicarbonate",Profile
IQRF04,$30.00,Renal Profile 04,"Sodium
Potassium
Chloride
Urea
Creatinine
eGFR
Bicarbonate",Profile
IQRF03,$30.00,Renal Profile 03,"Sodium
Potassium
Chloride
Urea
Creatinine
eGFR
Uric Acid",Profile
IQRF05,$35.00,Renal Profile 05,"Glucose
Sodium
Potassium
Chloride
Urea
Creatinine
eGFR
Bicarbonate",Profile
IQRF01,$34.00,Renal Profile 01,"Sodium
Potassium
Chloride
Urea
Creatinine
eGFR
Bicarbonate
Urine FEME",Profile
IQRF10,$60.00,Renal Profile 10,"Sodium
Potassium
Chloride
Urea
Creatinine
eGFR
Bicarbonate
Urine FEME
Urine Microalbumin/Creatinine Ratio",Profile
IQRF06,$45.00,Renal Profile 06,"Glucose
Sodium
Potassium
Chloride
Urea
Creatinine
eGFR
Calcium
Phosphate
Bicarbonate
Uric Acid",Profile
IQRF12,$82.00,Renal Profile 12,"Glucose
Sodium
Potassium
Chloride
Urea
Creatinine
eGFR
Bicarbonate
Uric Acid
Total Cholesterol
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol/HDL Ratio
Triglycerides
Urine FEME
Urine Microalbumin/Creatinine Ratio",Profile
IQST01,$182.00,STD Profile 01,"Chlamydia & Gonorrhoea PCR
Herpes Simplex Virus Type I IgG
Herpes Simplex Virus Type II IgG",Profile
IQST07,$57.00,STD Profile 07,"Direct Smear for GC
Herpes Simplex Virus Type I IgG
Herpes Simplex Virus Type II IgG",Profile
IQST08,$65.00,STD Profile 08,"Direct Smear for GC
Herpes Simplex Virus Type I IgG
Herpes Simplex Virus Type II IgG
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
IQST10,$386.00,STD Profile 10,"Chlamydia & Gonorrhoea PCR
Herpes Simplex Virus Type I IgG
Herpes Simplex Virus Type II IgG
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
VP3 (Candida albicans/Candida others, Gardnerella vaginalis, Trichomonas vaginalis)",Profile
IQST04,$188.00,STD Profile 04,"Chlamydia & Gonorrhoea PCR
Herpes Simplex Virus Type I IgG
Herpes Simplex Virus Type II IgG
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
IQST09,$72.00,STD Profile 09,"Direct Smear for GC
Herpes Simplex Virus Type I IgG
Herpes Simplex Virus Type II IgG
HIV Ag/Ab Screen
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
IQST03,$198.00,STD Profile 03,"Chlamydia & Gonorrhoea PCR
Herpes Simplex Virus Type I IgG
Herpes Simplex Virus Type II IgG
HIV Ag/Ab Screen
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
IQST05,$201.00,STD Profile 05,"Chlamydia & Gonorrhoea PCR
Herpes Simplex Virus Type I IgG
Herpes Simplex Virus Type II IgG
Urine FEME
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
IQST02,$203.00,STD Profile 02,"Chlamydia & Gonorrhoea PCR
Herpes Simplex Virus Type I IgG
Herpes Simplex Virus Type II IgG
HIV Ag/Ab Screen
Urine FEME
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
IQST06,$309.00,STD Profile 06,"Chlamydia & Gonorrhoea PCR
Herpes Simplex Virus Type I IgG
Herpes Simplex Virus Type II IgG
Herpes Simplex Virus I & II PCR
HIV Ag/Ab Screen
Urine FEME
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)",Profile
IQST12,$400.00,STD Profile 12,"Herpes Simplex Virus I & II PCR
Haemophilus Ducreyi
Cytomegalovirus
Treponema Pallidum
Lymphogranuloma Venereum
Varicella-Zoster Virus",Profile
IQST11,$432.00,STD Profile 11,"Chlamydia trachomatis
Mycoplasma Genitalium
Mycoplasma Hominis
Neisseria Gonorrhoea
Trichomonas Vaginalis
Ureaplasma Parvum
Ureaplasma Urealyticum",Profile
QTP2,$43.00,THYROID PROFILE 2,"Free T4
Thyroid Stimulating Hormone (TSH)",Profile
QTP3,$58.00,THYROID PROFILE 3,"Free T4
Free T3
Thyroid Stimulating Hormone (TSH)",Profile
QTP4,$100.00,THYROID PROFILE 4,"Free T4
Free T3
Thyroid Stimulating Hormone (TSH)
Thyroglobulin Antibody
Thyroid Peroxidase Antibody (Anti-TPO)",Profile
QTP6,$170.00,THYROID PROFILE 6,"Free T4
Free T3
Thyroid Stimulating Hormone (TSH)
Thyroglobulin Antibody
Thyroid Peroxidase Antibody (Anti-TPO)
Thyroid Stimulating Hormone Receptor Antibody (TRAB)",Profile
QTP9,$198.00,THYROID PROFILE 9,"Free T4
Free T3
Thyroid Stimulating Hormone (TSH)
Thyroglobulin
Thyroglobulin Antibody
Thyroid Peroxidase Antibody (Anti-TPO)
Thyroid Stimulating Hormone Receptor Antibody (TRAB)",Profile
FT4,$36.00,Free T4 (FT4),Free T4,Profile
FT3,$45.00,Free T3 (FT3),Free T3,Profile
TSH,$34.00,Thyroid Stimulating Hormone (TSH),Thyroid Stimulating Hormone (TSH),Profile
TYG,$124.00,Thyroglobulin,Thyroglobulin,Profile
THA,$36.00,Thyroglobulin Antibody,Thyroglobulin Antibody,Profile
TPO,$50.00,Thyroid Peroxidase Antibody (Anti-TPO),Thyroid Peroxidase Antibody (Anti-TPO),Profile
TRA,$98.00,Thyroid Stimulating Hormone Receptor Antibody (TRAB),Thyroid Stimulating Hormone Receptor Antibody (TRAB),Profile
T3,$48.00,Total Triiodothyronine,Total Triiodothyronine,Profile
HIV/HIW,$17.00,HIV Screen,HIV Ag/Ab Screen,Profile
IQWP1,$17.00,Work Permit 1,"VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Urine Pregnancy",Profile
IQWP11,$12.00,Work Permit 11,"VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
Beta-HCG Total (Serum Pregnancy Test)",Profile
IQWP9,$21.00,Work Permit 9,"ABO Blood Group
HIV Ag/Ab Screen",Profile
IQWP2,$21.00,Work Permit 2,"VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
HIV Ag/Ab Screen",Profile
IQWP3,$27.00,Work Permit 3,"VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
HIV Ag/Ab Screen
Urine Pregnancy",Profile
IQWP4,$26.00,Work Permit 4,"Hepatitis Bs Antigen (HBsAg)
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
HIV Ag/Ab Screen",Profile
IQWP10,$24.00,Work Permit 10,"VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
HIV Ag/Ab Screen
Beta-HCG Total (Serum Pregnancy Test)",Profile
IQWP8,$34.00,Work Permit 8,"Hepatitis Bs Antigen (HBsAg)
Malaria Parasite
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
HIV Ag/Ab Screen",Profile
IQWP5,$30.00,Work Permit 5,"Malaria Parasite
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
HIV Ag/Ab Screen
Beta-HCG Total (Serum Pregnancy Test)",Profile
IQWP7,$32.00,Work Permit 7,"Malaria Parasite
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
HIV Ag/Ab Screen
Urine Pregnancy",Profile
IQWP6,$29.00,Work Permit 6,"Malaria Parasite
VD (Syphilis TP Ab)
RPR & TPLA (if Syphilis is reactive)
HIV Ag/Ab Screen",Profile
PHT,$98.00,Phadiatop,Phadiatop,Single Allergy
A01,$56.00,Total IGE,Total IGE,Single Allergy
A71,$67.00,Barley F6,Barley F6,Single Allergy
A36,$67.00,Buckwheat F11,Buckwheat F11,Single Allergy
A22,$93.00,Gluten F79,Gluten F79,Single Allergy
A73,$67.00,Oat F7,Oat F7,Single Allergy
A75,$67.00,Rice F9,Rice F9,Single Allergy
A27,$67.00,Wheat F4,Wheat F4,Single Allergy
B07,$82.00,Amoxicilloyl C6,Amoxicilloyl C6,Single Allergy
B08,$82.00,Ampicilloyl C5,Ampicilloyl C5,Single Allergy
B09,$82.00,Penicilloyl G C1,Penicilloyl G C1,Single Allergy
B10,$82.00,Penicilloyl V C2,Penicilloyl V C2,Single Allergy
A52,$67.00,Egg F245,Egg F245,Single Allergy
A03,$93.00,Egg White HF1,Egg White HF1,Single Allergy
A53,$67.00,Egg Yolk F75,Egg Yolk F75,Single Allergy
A04,$67.00,Cat Dander E1,Cat Dander E1,Single Allergy
A05,$67.00,Dog Dander E5,Dog Dander E5,Single Allergy
B13,$61.00,Guinea Pig Epithelium E6,Guinea Pig Epithelium E6,Single Allergy
B15,$87.00,Hamster Epithelium E84,Hamster Epithelium E84,Single Allergy
B36,$93.00,"Mouse Epithelium, Serum and Urine Proteins E88","Mouse Epithelium, Serum and Urine Proteins E88",Single Allergy
B14,$93.00,Rabbit Epithelium E82,Rabbit Epithelium E82,Single Allergy
